trial_no,vwap_buy_deviation,take_profit_pct,buy_confirm_min_score,notify_sell_threshold,notify_buy_threshold,stock_qty_strong_pct,stock_qty_base_pct,stock_rebuild_strong_pct,stock_first_add_pct,train_win_rate,train_total_pnl,train_n_trades,train_max_drawdown,train_annualized_return,train_composite_score,test_win_rate,test_total_pnl,test_n_trades,test_max_drawdown,test_annualized_return,test_composite_score,elapsed_sec,status
10,-0.015687871632118086,0.016699180097162217,20,68,57,0.5676826783488812,0.3360754275882549,0.7999896483928265,0.38689970179021393,0,0,0,0,0,-9999.0,0,0,0,0,0,0,223.9,ok
11,-0.018104540046336354,0.011821865560323382,19,50,53,0.5789348752784789,0.3214492926198179,0.8035921370166128,0.2463382156434883,1.0,2.17,1,-0.0133,0.0391,69.2784,0,0,0,0,0,0,253.9,ok
12,-0.020925810757018368,0.014149122709140118,19,50,53,0.5076331737484912,0.32529064884844,0.8168122628537164,0.10433553573857124,0,0,0,0,0,-9999.0,0,0,0,0,0,0,253.6,ok
13,-0.02076044395573176,0.008344370997354352,30,40,50,0.5137744170597263,0.28887297629107,0.9981728296830226,0.3056513824386803,0,0,0,0,0,-9999.0,0,0,0,0,0,0,207.8,ok
14,-0.031849596507958884,0.014102047910751363,21,55,70,0.4983584001157416,0.3595412051024232,0.8594241073931013,0.2110647480572633,0,0,0,0,0,-9999.0,0,0,0,0,0,0,218.3,ok
15,-0.017852177399813027,0.01795483310793728,17,49,55,0.5946753156654546,0.28722076906960003,0.9191904809865727,0.30539646927461245,0,0,0,0,0,-9999.0,0,0,0,0,0,0,196.8,ok
16,-0.02304617006167055,0.013340294698463984,28,60,40,0.46069574997408314,0.35910624980776684,0.6943845973931931,0.10395376431427714,0,0,0,0,0,-9999.0,0,0,0,0,0,0,227.9,ok
17,-0.023477329860281556,0.008921224550209456,22,54,49,0.532607902345991,0.30025327190128875,0.9997872700466007,0.3991684049944119,0,0,0,0,0,-9999.0,0,0,0,0,0,0,200.8,ok
18,-0.018200174703800302,0.00903727202455023,18,40,58,0.5476825099911495,0.35468920952053223,0.7414243232306962,0.21978839449564191,0,0,0,0,0,-9999.0,0,0,0,0,0,0,203.4,ok
19,-0.015332814748409716,0.012450057244724047,15,70,48,0.46638080552416317,0.21110286471921566,0.8507721313487366,0.3081405471787079,0,0,0,0,0,-9999.0,0,0,0,0,0,0,228.4,ok
20,-0.030240971263630418,0.019406505542791393,28,56,52,0.46434328424873833,0.3133882426280027,0.5058104808137767,0.20410715614135047,0,0,0,0,0,-9999.0,0,0,0,0,0,0,189.6,ok
