open,high,low,close,volume,thscode,time,thsname_cn,thsname_en,currency
49.32,51.29,49.27,51.29,39848000.0,000988.SZ,20250811,华工科技,NA,CNY
50.9,51.76,50.77,51.61,29831800.0,000988.SZ,20250812,华工科技,NA,CNY
51.65,53.11,51.37,52.91,48746400.0,000988.SZ,20250813,华工科技,NA,CNY
52.61,52.74,51.31,51.55,33976500.0,000988.SZ,20250814,华工科技,NA,CNY
51.26,52.26,51.06,51.43,38165400.0,000988.SZ,20250815,华工科技,NA,CNY
51.43,52.65,51.26,52.15,51377900.0,000988.SZ,20250818,华工科技,NA,CNY
52.4,54.35,52.19,52.74,53922500.0,000988.SZ,20250819,华工科技,NA,CNY
51.96,55.19,51.0,54.69,63880000.0,000988.SZ,20250820,华工科技,NA,CNY
55.51,56.09,54.17,54.46,58900300.0,000988.SZ,20250821,华工科技,NA,CNY
54.93,59.54,54.93,58.53,91449800.0,000988.SZ,20250822,华工科技,NA,CNY
60.43,61.4,59.1,59.87,107222400.0,000988.SZ,20250825,华工科技,NA,CNY
59.82,61.32,59.1,59.97,64680700.0,000988.SZ,20250826,华工科技,NA,CNY
60.08,63.76,60.08,60.78,96064500.0,000988.SZ,20250827,华工科技,NA,CNY
60.46,64.32,60.46,64.29,103501000.0,000988.SZ,20250828,华工科技,NA,CNY
64.54,69.48,62.93,68.31,104143900.0,000988.SZ,20250829,华工科技,NA,CNY
74.38,75.13,72.68,75.13,118784400.0,000988.SZ,20250901,华工科技,NA,CNY
75.26,79.99,73.0,74.14,179469400.0,000988.SZ,20250902,华工科技,NA,CNY
75.38,75.57,70.41,71.88,123072200.0,000988.SZ,20250903,华工科技,NA,CNY
72.86,73.28,64.69,64.69,110211100.0,000988.SZ,20250904,华工科技,NA,CNY
64.3,67.56,62.4,67.43,112267600.0,000988.SZ,20250905,华工科技,NA,CNY
66.77,67.83,64.67,66.68,74977900.0,000988.SZ,20250908,华工科技,NA,CNY
65.71,66.58,64.18,64.62,49938300.0,000988.SZ,20250909,华工科技,NA,CNY
65.89,66.84,64.48,65.59,60036900.0,000988.SZ,20250910,华工科技,NA,CNY
68.19,72.15,67.39,72.15,96421500.0,000988.SZ,20250911,华工科技,NA,CNY
70.88,78.37,70.31,76.96,129052700.0,000988.SZ,20250912,华工科技,NA,CNY
78.4,83.84,76.77,81.12,108957000.0,000988.SZ,20250915,华工科技,NA,CNY
81.44,83.85,80.15,81.2,85602400.0,000988.SZ,20250916,华工科技,NA,CNY
82.34,86.78,81.96,85.43,89780200.0,000988.SZ,20250917,华工科技,NA,CNY
84.86,91.18,83.19,87.42,118228500.0,000988.SZ,20250918,华工科技,NA,CNY
88.15,94.38,87.35,90.97,99194400.0,000988.SZ,20250919,华工科技,NA,CNY
91.77,93.6,86.89,92.2,95266900.0,000988.SZ,20250922,华工科技,NA,CNY
93.82,95.39,85.8,88.1,116212000.0,000988.SZ,20250923,华工科技,NA,CNY
86.82,89.18,85.26,88.65,68842200.0,000988.SZ,20250924,华工科技,NA,CNY
90.95,97.52,90.03,97.52,103228700.0,000988.SZ,20250925,华工科技,NA,CNY
97.84,100.72,92.05,92.05,113027400.0,000988.SZ,20250926,华工科技,NA,CNY
93.85,99.68,92.85,98.99,86196800.0,000988.SZ,20250929,华工科技,NA,CNY
100.02,100.49,91.62,92.33,117961400.0,000988.SZ,20250930,华工科技,NA,CNY
90.0,91.75,87.96,88.26,97048100.0,000988.SZ,20251009,华工科技,NA,CNY
87.35,88.19,84.65,85.1,66952300.0,000988.SZ,20251010,华工科技,NA,CNY
80.34,84.06,80.34,82.38,60802900.0,000988.SZ,20251013,华工科技,NA,CNY
83.96,84.34,77.97,78.43,72241000.0,000988.SZ,20251014,华工科技,NA,CNY
