================================================================================
[V1.18 0707 回测报告 - 仅触发信号]
================================================================================

改进说明:
1. 弱势震荡检测: 平开/低开后全天均线下 -> 禁止买入, 鼓励卖出
2. 45度斜率+均线穿越: 均线上下窜可低吸, 全天均线下不可低吸
3. 卖出幅度过滤: 幅度<0.3%不触发高抛

================================================================================
  002261 拓维信息
================================================================================
  全天最高分: 买0 (at ) / 卖0 (at )
  全天无触发信号

================================================================================
  588170 科创半导体ETF
================================================================================
  全天最高分: 买36 (at 10:13) / 卖134 (at 10:09)
  触发信号数: 141

  [14:11] SELL_HIGH 000988 华工科技 价格153.00 评分89
  [14:12] SELL_HIGH 000988 华工科技 价格153.05 评分89
  [14:13] SELL_HIGH 000988 华工科技 价格152.92 评分74
  [14:14] SELL_HIGH 000988 华工科技 价格153.16 评分70
  [14:15] SELL_HIGH 000988 华工科技 价格153.16 评分70
  [14:16] SELL_HIGH 000988 华工科技 价格153.00 评分85
  [14:17] SELL_HIGH 000988 华工科技 价格152.86 评分89
  [14:18] SELL_HIGH 000988 华工科技 价格152.84 评分74
  [14:19] SELL_HIGH 000988 华工科技 价格153.25 评分70
  [14:20] SELL_HIGH 000988 华工科技 价格153.31 评分70
  [14:21] SELL_HIGH 000988 华工科技 价格153.25 评分70
  [14:22] SELL_HIGH 000988 华工科技 价格153.20 评分70
  [14:23] SELL_HIGH 000988 华工科技 价格153.28 评分85
  [14:24] SELL_HIGH 000988 华工科技 价格153.16 评分70
  [14:25] SELL_HIGH 000988 华工科技 价格153.15 评分70
  [14:26] SELL_HIGH 000988 华工科技 价格153.11 评分95
  [14:27] SELL_HIGH 000988 华工科技 价格153.08 评分99
  [14:28] SELL_HIGH 000988 华工科技 价格153.00 评分84
  [14:29] SELL_HIGH 000988 华工科技 价格152.86 评分74
  [14:30] SELL_HIGH 000988 华工科技 价格153.05 评分70
  [14:31] SELL_HIGH 000988 华工科技 价格153.24 评分70
  [14:32] SELL_HIGH 000988 华工科技 价格153.19 评分70
  [14:33] SELL_HIGH 000988 华工科技 价格153.25 评分60
  [14:34] SELL_HIGH 000988 华工科技 价格153.29 评分60
  [14:35] SELL_HIGH 000988 华工科技 价格153.43 评分80
  [14:36] SELL_HIGH 000988 华工科技 价格153.51 评分80
  [14:37] SELL_HIGH 000988 华工科技 价格153.63 评分80
  [14:38] SELL_HIGH 000988 华工科技 价格153.75 评分80
  [14:39] SELL_HIGH 000988 华工科技 价格153.96 评分80
  [14:40] SELL_HIGH 000988 华工科技 价格154.12 评分80
  [14:41] SELL_HIGH 000988 华工科技 价格154.12 评分80
  [14:42] SELL_HIGH 000988 华工科技 价格153.87 评分89
  [14:43] SELL_HIGH 000988 华工科技 价格153.83 评分89
  [14:44] SELL_HIGH 000988 华工科技 价格154.00 评分70
  [14:45] SELL_HIGH 000988 华工科技 价格154.03 评分70
