date,open,close,high,low,volume,amount,fetch_source,amount_raw,amount_source,amount_anchor_ratio,cache_schema_version,cache_scan_mode,cache_saved_at
2025-10-24,60.73,63.75,63.99,60.5,2344458.0,147106924.64000002,cache,147106924.64000002,volume_hlc3_fallback,0.010400048394894605,v4,daily,2026-06-17 10:18:47
2025-10-27,65.72,65.24,65.83,63.37,2339921.0,151658079.74666667,cache,151658079.74666667,volume_hlc3_fallback,0.010400048394894605,v4,daily,2026-06-17 10:18:47
2025-10-28,64.54,64.5,65.64,63.84,1426328.0,92226368.48000002,cache,92226368.48000002,volume_hlc3_fallback,0.010400048394894605,v4,daily,2026-06-17 10:18:47
2025-10-29,65.75,67.12,67.32,65.01,1800528.0,119705103.2,cache,119705103.2,volume_hlc3_fallback,0.010400048394894605,v4,daily,2026-06-17 10:18:47
2025-10-30,66.94,64.88,67.13,63.5,1787884.0,116516400.28,cache,116516400.28,volume_hlc3_fallback,0.010400048394894605,v4,daily,2026-06-17 10:18:47
2025-10-31,66.04,62.84,66.72,62.84,1734152.0,111216948.26666668,cache,111216948.26666668,volume_hlc3_fallback,0.010400048394894605,v4,daily,2026-06-17 10:18:47
2025-11-03,62.64,62.76,62.8,60.53,1404143.0,87098990.29,cache,87098990.29,volume_hlc3_fallback,0.010400048394894605,v4,daily,2026-06-17 10:18:47
2025-11-04,62.34,60.38,62.68,59.9,1289906.0,78667067.25333335,cache,78667067.25333335,volume_hlc3_fallback,0.010400048394894605,v4,daily,2026-06-17 10:18:47
2025-11-05,58.44,60.82,61.3,58.2,1121729.0,67423391.09333333,cache,67423391.09333333,volume_hlc3_fallback,0.010400048394894605,v4,daily,2026-06-17 10:18:47
2025-11-06,60.82,61.5,61.7,59.64,1324713.0,80736841.64,cache,80736841.64,volume_hlc3_fallback,0.010400048394894605,v4,daily,2026-06-17 10:18:47
2025-11-07,60.56,59.74,60.84,59.68,1053634.0,63309354.94666667,cache,63309354.94666667,volume_hlc3_fallback,0.010400048394894605,v4,daily,2026-06-17 10:18:47
2025-11-10,59.34,58.24,60.04,57.05,1535276.0,89726647.02666667,cache,89726647.02666667,volume_hlc3_fallback,0.010400048394894605,v4,daily,2026-06-17 10:18:47
2025-11-11,58.82,56.33,58.99,56.07,1084897.0,61980165.60999999,cache,61980165.60999999,volume_hlc3_fallback,0.010400048394894605,v4,daily,2026-06-17 10:18:47
2025-11-12,56.28,57.61,58.3,56.21,1357175.0,77865653.66666667,cache,77865653.66666667,volume_hlc3_fallback,0.010400048394894605,v4,daily,2026-06-17 10:18:47
2025-11-13,57.04,57.22,58.19,56.72,939953.0,53931369.96333333,cache,53931369.96333333,volume_hlc3_fallback,0.010400048394894605,v4,daily,2026-06-17 10:18:47
2025-11-14,56.5,56.35,58.07,55.94,1017544.0,57782931.946666665,cache,57782931.946666665,volume_hlc3_fallback,0.010400048394894605,v4,daily,2026-06-17 10:18:47
2025-11-17,56.33,56.39,57.28,55.96,741856.0,41947011.09333333,cache,41947011.09333333,volume_hlc3_fallback,0.010400048394894605,v4,daily,2026-06-17 10:18:47
2025-11-18,55.96,56.45,57.59,55.24,1054029.0,59475343.040000014,cache,59475343.040000014,volume_hlc3_fallback,0.010400048394894605,v4,daily,2026-06-17 10:18:47
2025-11-19,56.84,56.59,57.78,56.25,935330.0,53195334.86666667,cache,53195334.86666667,volume_hlc3_fallback,0.010400048394894605,v4,daily,2026-06-17 10:18:47
2025-11-20,57.94,55.59,58.04,55.52,959812.0,54117399.93333333,cache,54117399.93333333,volume_hlc3_fallback,0.010400048394894605,v4,daily,2026-06-17 10:18:47
2025-11-21,53.84,52.69,54.12,52.64,1499996.0,79724787.39999999,cache,79724787.39999999,volume_hlc3_fallback,0.010400048394894605,v4,daily,2026-06-17 10:18:47
2025-11-24,53.03,53.09,53.69,52.04,957030.0,50665168.2,cache,50665168.2,volume_hlc3_fallback,0.010400048394894605,v4,daily,2026-06-17 10:18:47
2025-11-25,54.06,55.54,56.23,53.88,1450760.0,80106131.33333334,cache,80106131.33333334,volume_hlc3_fallback,0.010400048394894605,v4,daily,2026-06-17 10:18:47
2025-11-26,55.16,57.44,58.69,54.75,1591539.0,90654061.44,cache,90654061.44,volume_hlc3_fallback,0.010400048394894605,v4,daily,2026-06-17 10:18:47
2025-11-27,57.54,56.8,58.97,56.64,1263804.0,72630815.88,cache,72630815.88,volume_hlc3_fallback,0.010400048394894605,v4,daily,2026-06-17 10:18:47
2025-11-28,56.66,57.62,58.02,56.59,962578.0,55261602.98,cache,55261602.98,volume_hlc3_fallback,0.010400048394894605,v4,daily,2026-06-17 10:18:47
2025-12-01,57.69,58.45,59.13,56.24,1377362.0,79804354.28,cache,79804354.28,volume_hlc3_fallback,0.010400048394894605,v4,daily,2026-06-17 10:18:47
2025-12-02,58.41,59.84,61.34,58.02,1813965.0,108354176.0,cache,108354176.0,volume_hlc3_fallback,0.010400048394894605,v4,daily,2026-06-17 10:18:47
2025-12-03,59.92,58.66,60.24,58.29,1080866.0,63839548.84666666,cache,63839548.84666666,volume_hlc3_fallback,0.010400048394894605,v4,daily,2026-06-17 10:18:47
2025-12-04,58.45,59.47,59.57,56.95,1038909.0,60945864.97,cache,60945864.97,volume_hlc3_fallback,0.010400048394894605,v4,daily,2026-06-17 10:18:47
2025-12-05,59.46,59.09,59.52,58.55,716996.0,42341003.78666667,cache,42341003.78666667,volume_hlc3_fallback,0.010400048394894605,v4,daily,2026-06-17 10:18:47
2025-12-08,58.94,59.92,60.55,58.58,1114481.0,66515941.01666667,cache,66515941.01666667,volume_hlc3_fallback,0.010400048394894605,v4,daily,2026-06-17 10:18:47
2025-12-09,59.91,60.44,61.35,59.44,1106581.0,66848558.20999999,cache,66848558.20999999,volume_hlc3_fallback,0.010400048394894605,v4,daily,2026-06-17 10:18:47
2025-12-10,59.74,59.37,59.74,57.86,956685.0,56434848.15,cache,56434848.15,volume_hlc3_fallback,0.010400048394894605,v4,daily,2026-06-17 10:18:47
2025-12-11,59.32,58.09,61.14,58.03,876398.0,51783436.49333333,cache,51783436.49333333,volume_hlc3_fallback,0.010400048394894605,v4,daily,2026-06-17 10:18:47
2025-12-12,58.07,60.22,60.72,57.44,1321919.0,78601303.74,cache,78601303.74,volume_hlc3_fallback,0.010400048394894605,v4,daily,2026-06-17 10:18:47
