index_regime_date,index_regime,index_score,index_score_delta,index_gate_advice,index_temp_bucket,index_circuit_state,index_pos_factor,index_policy_reason,dynamic_qty,qty_source,blocked_by_index_circuit,date,time,code,name,action,score,buy_score,sell_score,price,vwap,notify,notify_threshold,hold_qty,daily_gate,daily_trend_bg,daily_support_name,daily_support_gap,daily_status,reasons,minute_source,daily_context_source
2026-07-13,range,0.0,0.0,normal_t,neutral,normal,1.0,index_csv_missing,800,position_sizer,False,2026-07-13,11:30:00,000988,华工科技,BUY_LOW,79.0,79.0,-12.0,156.92,159.4138589124623,True,68,800,overheat,bull,,0.0,ok,回归空间|盈利空间|VWAP深度偏离|长下影|MA5支撑确认|15分多重底|15分RSI超卖|5分弱企稳|15分低点支撑|日线趋势背景|卖后低吸(弱)|45度洗盘可低吸|卖后重建|MA5上行顺势T,cache,direct_build
2026-07-13,range,0.0,0.0,normal_t,neutral,normal,1.0,index_csv_missing,800,position_sizer,False,2026-07-13,13:07:00,000988,华工科技,SELL_HIGH,80.0,40.0,80.0,159.15,159.29090625855383,True,65,800,overheat,bull,,0.0,ok,RSI超买|布林偏上|压力区突破|强空头优先高抛|日线过热|最优卖点,cache,direct_build
2026-07-13,range,0.0,0.0,normal_t,neutral,normal,1.0,index_csv_missing,800,position_sizer,False,2026-07-13,13:22:00,000988,华工科技,BUY_LOW,86.0,86.0,3.0,156.98,159.2323382145924,True,68,800,overheat,bull,,0.0,ok,回归空间|盈利空间|VWAP深度偏离|下午回落|RSI超卖|MA5支撑确认|15分动能衰竭|15分RSI超卖|15分低点附近|日线趋势背景|卖后低吸(弱)|卖后RSI超卖|45度洗盘可低吸|卖后重建|MA5上行顺势T,cache,direct_build
2026-07-14,range,0.0,0.0,normal_t,neutral,normal,1.0,index_csv_missing,800,position_sizer,False,2026-07-14,10:02:00,000988,华工科技,SELL_HIGH,54.0,-7.0,54.0,148.05,147.0761389286044,False,65,800,overheat,bull,,0.0,ok,回吐空间|MACD拐头|强空头优先高抛|日线过热,cache,direct_build
2026-07-14,range,0.0,0.0,normal_t,neutral,normal,1.0,index_csv_missing,800,position_sizer,False,2026-07-14,10:22:00,000988,华工科技,SELL_HIGH,118.0,-7.0,118.0,153.56,147.69685324604814,True,65,800,overheat,bull,,0.0,ok,回吐空间|盈利空间|RSI超买|布林偏上|MACD拐头|双顶保护|二次冲高未突破|强空头优先高抛|日线过热,cache,direct_build
2026-07-15,range,0.0,0.0,normal_t,neutral,normal,1.0,index_csv_missing,800,position_sizer,False,2026-07-15,10:04:00,000988,华工科技,SELL_HIGH,63.0,1.0,63.0,153.45,152.469846837705,False,65,800,overheat,bull,,0.0,ok,回吐空间|区间高位|成本逼近保护|强空头优先高抛|日线过热,cache,direct_build
2026-07-15,range,0.0,0.0,normal_t,neutral,normal,1.0,index_csv_missing,800,position_sizer,False,2026-07-15,10:24:00,000988,华工科技,SELL_HIGH,85.0,-7.0,85.0,153.37,152.42870797655252,True,65,800,overheat,bull,,0.0,ok,回吐空间|布林偏上|区间高位|成本逼近保护|压力区突破|强空头优先高抛|日线过热,cache,direct_build
2026-07-16,range,0.0,0.0,normal_t,neutral,normal,1.0,index_csv_missing,800,position_sizer,False,2026-07-16,10:02:00,000988,华工科技,PANIC_SELL,101.0,1.0,101.0,137.08,133.67841094927837,True,65,800,overheat,bull,,0.0,ok,深套止损最终防线|回吐空间|盈利空间|RSI超买|布林偏上|MACD拐头|二次冲高未突破|强空头优先高抛|日线过热,cache,direct_build
2026-07-16,range,0.0,0.0,normal_t,neutral,normal,1.0,index_csv_missing,800,position_sizer,False,2026-07-16,10:04:00,000988,华工科技,PANIC_SELL,81.0,-8.0,81.0,137.1,133.7366977131182,True,65,800,overheat,bull,,0.0,ok,深套止损最终防线|回吐空间|盈利空间|MACD拐头|长上影|二次冲高未突破|强空头优先高抛|日线过热,cache,direct_build
2026-07-16,range,0.0,0.0,normal_t,neutral,normal,1.0,index_csv_missing,800,position_sizer,False,2026-07-16,13:14:00,000988,华工科技,BUY_LOW,66.0,66.0,17.0,133.89,134.56006526233514,False,68,800,overheat,bull,,0.0,ok,回归空间|MACD拐头|MACD强拐头|量能确认|MA5支撑确认|15分RSI超卖|15分低点附近|均线上破回踩|日线趋势背景|卖后低吸(弱)|45度洗盘可低吸|卖后重建|MA5上行顺势T,cache,direct_build
2026-07-16,range,0.0,0.0,normal_t,neutral,normal,1.0,index_csv_missing,800,position_sizer,False,2026-07-16,13:21:00,000988,华工科技,BUY_LOW,67.0,67.0,22.0,133.96,134.55060168554047,False,68,800,overheat,bull,,0.0,ok,回归空间|RSI超卖|EMA转强|回落确认|MA5支撑确认|15分RSI超卖|15分低点附近|均线回踩|均线上破回踩|日线趋势背景|45度洗盘可低吸|卖后重建|MA5上行顺势T,cache,direct_build
2026-07-16,range,0.0,0.0,normal_t,neutral,normal,1.0,index_csv_missing,800,position_sizer,False,2026-07-16,13:35:00,000988,华工科技,BUY_LOW,112.0,112.0,37.0,131.85,134.43057748682355,True,68,800,overheat,bull,,0.0,ok,回归空间|盈利空间|VWAP深度偏离|下午回落|RSI超卖|MACD拐头|MACD强拐头|回落确认|区间低位|MA5支撑确认|15分RSI超卖|5分弱企稳|15分低点支撑|日线趋势背景|45度洗盘可低吸|5分企稳反转|卖后重建|MA5上行顺势T,cache,direct_build
2026-07-17,range,0.0,0.0,normal_t,neutral,normal,1.0,index_csv_missing,800,position_sizer,False,2026-07-17,10:00:00,000988,华工科技,PANIC_SELL,58.0,-11.0,58.0,122.54,122.3480616848917,False,65,800,overheat,bull,,0.0,ok,深套止损最终防线|回吐空间|MACD拐头|EMA转弱|强空头优先高抛|日线过热,cache,direct_build
2026-07-17,range,0.0,0.0,normal_t,neutral,normal,1.0,index_csv_missing,800,position_sizer,False,2026-07-17,11:04:00,000988,华工科技,PANIC_SELL,87.0,58.0,87.0,119.5,120.92932434858781,True,65,800,overheat,bull,,0.0,ok,深套止损最终防线|RSI超买|布林偏上|长上影|压力区突破|强空头优先高抛|日线过热|最优卖点,cache,direct_build
