date,total_market_value,cash_balance,total_asset_value,shares,nav,strategy_yield,strategy_yield_daily,strategy_drawdown,profit_loss,benchmark_price,benchmark_yield,benchmark_yield_daily,benchmark_drawdown
2026-05-18,58952.0,165754.00009155273,224706.00009155273,200000.0,1.1235300004577637,0.12353000045776374,0.025797175929772716,-0.0011956900351752786,1,4833.5237,0.013451444560127035,-0.005364441345053539,-0.032974536334720805
2026-05-19,63360.0,165754.00009155273,229114.00009155273,200000.0,1.1455700004577636,0.14557000045776358,0.01961674364816249,0.0,1,4852.8832,0.017510577080975587,0.004005256041260452,-0.029101351754322824
2026-05-20,65367.99999999999,165754.00009155273,231122.00009155273,200000.0,1.1556100004577636,0.15561000045776363,0.008764195986267202,0.0,1,4850.7,0.017052822587340977,-0.0004498768896807892,-0.029538136618390887
2026-05-21,61584.0,165754.00009155273,227338.00009155273,200000.0,1.1366900004577636,0.13669000045776358,-0.01637230552911917,-0.01637230552911917,-1,4783.0976,0.00287853604443411,-0.013936627703218019,-0.043063102308511625
2026-05-22,62524.0,165754.00009155273,228278.00009155273,200000.0,1.1413900004577637,0.14139000045776373,0.004134812480190185,-0.012305189462160304,1,4845.0956,0.01587774046745971,0.012961893146399506,-0.030659388492787598
2026-05-25,68776.0,165754.00009155273,234530.00009155273,200000.0,1.1726500004577636,0.17265000045776357,0.027387658896137836,0.0,1,4921.5974,0.031917976231991,0.015789533647179166,-0.01535395229181713
2026-05-26,68128.0,165754.00009155273,233882.00009155273,200000.0,1.1694100004577637,0.16941000045776367,-0.0027629727529400257,-0.0027629727529400183,-1,4947.8493,0.03742224757288626,0.005334020210592705,-0.01010183037306156
2026-05-27,63952.0,165754.00009155273,229706.00009155273,200000.0,1.1485300004577637,0.14853000045776366,-0.017855157722121897,-0.020568797160776198,-1,4908.1714,0.029102928672657846,-0.00801922160402091,-0.018040043160714614
2026-05-28,66252.0,165754.00009155273,232006.00009155273,200000.0,1.1600300004577637,0.16003000045776372,0.010012798965126354,-0.010761949426575268,1,4914.2133,0.030369742008627965,0.0012309879805745272,-0.01683126225643994
2026-05-29,60767.99999999999,165754.00009155273,226522.00009155273,200000.0,1.1326100004577637,0.13261000045776372,-0.023637319715162274,-0.03414488550238315,-1,4892.1213,0.02573768252100761,-0.004495531360024674,-0.02125112814916197
2026-06-01,114456.0,105159.99984741211,219615.9998474121,200000.0,1.0980799992370605,0.09807999923706046,-0.03048710607071046,-0.06359101282701018,-1,4844.2556,0.015701616532569185,-0.009784242267255161,-0.030827444230153267
